workflow_id,title,specialty_id,specialty_name,semantic_aliases_count,matching_terms_count,supporting_terms_count,chips_count,has_autofill,has_source_history_draft,has_scribe_clean_history_template,history_placeholder_count,has_exam_details,has_investigation_options,has_plan_options,has_medication_options,review_required,safety_note,risk_level,risk_reasons,matching_readiness_status,matching_readiness_reasons,scribe_readiness_status,reviewed_by,review_type,date_reviewed,blockers,missing_fields
"gp-hypertension-followup","Hypertension follow-up","general_medicine_gp","General Medicine / GP","10","11","155","34","true","true","true","8","true","true","true","true","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation options only. Clinician confirms each item. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. | Documentation prompts only. No treatment or triage recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","ready_for_simulated_scribe_testing","Hossam","export_quality_review","2026-06-06","",""
"gp-diabetes-followup","Diabetes follow-up","general_medicine_gp","General Medicine / GP","11","12","181","35","true","true","true","6","true","true","true","true","true","Document only if assessed. These prompts support diabetes follow-up documentation, not examination recommendations. | Documentation options only. Clinician confirms each item. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Editable documentation draft only. Do not add patient-specific facts unless entered or confirmed by the clinician. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","ready_for_simulated_scribe_testing","Hossam","export_quality_review","2026-06-06","",""
"gp-thyroid-followup","Thyroid follow-up","general_medicine_gp","General Medicine / GP","9","10","122","28","true","true","true","7","true","true","true","false","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. | Documentation prompts only. No treatment or triage recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"gp-dyslipidemia-followup","Dyslipidemia follow-up","general_medicine_gp","General Medicine / GP","12","11","115","25","true","true","true","7","true","true","true","false","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. | Documentation prompts only. No treatment or triage recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"gp-lab-result-review","Lab result review","general_medicine_gp","General Medicine / GP","12","12","112","21","true","true","true","7","true","true","true","false","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. | Documentation prompts only. No treatment or triage recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"peds-fever","Fever","pediatrics","Pediatrics","21","21","224","46","true","true","true","10","true","true","true","true","true","Document only if assessed. These prompts support paediatric fever examination documentation, not examination instructions. | Documentation options only. Clinician confirms each item. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Editable documentation draft only. Paediatric safeguarding and safety concerns require clinician judgment and local protocol. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","ready_for_simulated_scribe_testing","Hossam","export_quality_review","2026-06-06","",""
"peds-cough","Cough / cold","pediatrics","Pediatrics","17","17","167","40","true","true","true","9","true","true","true","true","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation options only. Clinician confirms each item. | Documentation prompts only. Documented. No treatment recommendations. | Documentation prompts only. No treatment or triage recommendations. Parent/guardian report context. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"peds-vomiting-diarrhea","Vomiting / diarrhea","pediatrics","Pediatrics","15","17","163","39","true","true","true","10","true","true","true","false","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation prompts only. Documented. No treatment recommendations. | Documentation prompts only. No treatment or triage recommendations. Parent/guardian report context. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"peds-rash","Rash","pediatrics","Pediatrics","15","14","157","34","true","true","true","9","true","true","true","false","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation prompts only. Documented. No treatment recommendations. | Documentation prompts only. No treatment or triage recommendations. Parent/guardian report context. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"peds-poor-feeding","Poor feeding","pediatrics","Pediatrics","15","15","159","36","true","true","true","9","true","true","true","false","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation prompts only. Documented. No treatment recommendations. | Documentation prompts only. No treatment or triage recommendations. Parent/guardian report context. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"peds-ear-pain","Ear pain","pediatrics","Pediatrics","15","13","141","33","true","true","true","8","true","true","true","false","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation prompts only. Documented. No treatment recommendations. | Documentation prompts only. No treatment or triage recommendations. Parent/guardian report context. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"peds-abdominal-pain","Abdominal pain","pediatrics","Pediatrics","15","16","149","35","true","true","true","8","true","true","true","false","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation prompts only. Documented. No treatment recommendations. | Documentation prompts only. No treatment or triage recommendations. Parent/guardian report context. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"peds-routine-followup","Routine pediatric follow-up","pediatrics","Pediatrics","11","11","129","24","true","true","true","6","true","true","true","false","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation prompts only. Documented. No treatment recommendations. | Documentation prompts only. No treatment or triage recommendations. Parent/guardian report context. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"peds-vaccination","Vaccination visit","pediatrics","Pediatrics","15","15","111","22","true","true","true","5","true","true","true","false","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation prompts only. Documented. No treatment recommendations. | Documentation prompts only. No treatment or triage recommendations. Parent/guardian report context. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"peds-growth-concern","Growth concern","pediatrics","Pediatrics","14","13","133","30","true","true","true","8","true","true","true","false","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation prompts only. Documented. No treatment recommendations. | Documentation prompts only. No treatment or triage recommendations. Parent/guardian report context. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"peds-development-concern","Developmental concern","pediatrics","Pediatrics","15","15","156","37","true","true","true","8","true","true","true","false","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation prompts only. Documented. No treatment recommendations. | Documentation prompts only. No treatment or triage recommendations. Parent/guardian report context. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"peds-school-note","School / sick note","pediatrics","Pediatrics","14","16","110","23","true","true","true","6","true","true","true","false","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation prompts only. Documented. No treatment recommendations. | Documentation prompts only. No treatment or triage recommendations. Parent/guardian report context. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"obgyn-antenatal-followup","Antenatal follow-up","ob_gyn","OB/GYN","10","11","231","53","true","true","true","8","true","true","true","true","true","Document only if assessed. These prompts support antenatal follow-up examination documentation, not examination instructions. | Documentation options only. Clinician confirms each item. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Editable documentation draft only. Obstetric history should be documented in clinically appropriate context and reviewed by the clinician. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"obgyn-pelvic-pain","Pelvic pain","ob_gyn","OB/GYN","13","14","205","50","true","true","true","9","true","true","true","false","true","Document only if assessed. Pelvic examination requires clinically appropriate context and consent. Local protocol applies. Do not imply exam must be performed. | Documentation prompts only. Clinically appropriate context and consent where relevant. No treatment recommendations. Clinician review required. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required. Local protocol applies.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"obgyn-irregular-bleeding","Irregular bleeding","ob_gyn","OB/GYN","14","13","200","47","true","true","true","9","true","true","true","false","true","Document only if assessed. Pelvic examination requires clinically appropriate context and consent. Local protocol applies. Do not imply exam must be performed. | Documentation prompts only. Clinically appropriate context and consent where relevant. No treatment recommendations. Clinician review required. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required. Local protocol applies.","urgent","title keyword: bleeding","good","urgent workflow requires cautious matching","needs_review","","","","Clinician review required by source data | High-risk workflow requires manual review",""
"obgyn-vaginal-discharge","Vaginal discharge","ob_gyn","OB/GYN","14","14","189","47","true","true","true","9","true","true","true","false","true","Document only if assessed. Pelvic examination requires clinically appropriate context and consent. Local protocol applies. Do not imply exam must be performed. | Documentation prompts only. Clinically appropriate context and consent where relevant. No treatment recommendations. Clinician review required. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required. Local protocol applies.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"obgyn-contraception","Contraception counseling","ob_gyn","OB/GYN","11","10","125","22","true","true","true","8","true","true","true","false","true","Document only if assessed. Pelvic examination requires clinically appropriate context and consent. Local protocol applies. Do not imply exam must be performed. | Documentation prompts only. Clinically appropriate context and consent where relevant. No treatment recommendations. Clinician review required. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required. Local protocol applies.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"obgyn-dysmenorrhea","Dysmenorrhea","ob_gyn","OB/GYN","14","11","169","38","true","true","true","9","true","true","true","false","true","Document only if assessed. Pelvic examination requires clinically appropriate context and consent. Local protocol applies. Do not imply exam must be performed. | Documentation prompts only. Clinically appropriate context and consent where relevant. No treatment recommendations. Clinician review required. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required. Local protocol applies.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"obgyn-postnatal-followup","Postnatal follow-up","ob_gyn","OB/GYN","9","10","204","42","true","true","true","9","true","true","true","false","true","Document only if assessed. Pelvic examination requires clinically appropriate context and consent. Local protocol applies. Do not imply exam must be performed. | Documentation prompts only. Clinically appropriate context and consent where relevant. No treatment recommendations. Clinician review required. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required. Local protocol applies.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"obgyn-early-pregnancy","Early pregnancy symptoms","ob_gyn","OB/GYN","11","12","189","44","true","true","true","9","true","true","true","false","true","Document only if assessed. Pelvic examination requires clinically appropriate context and consent. Local protocol applies. Do not imply exam must be performed. | Documentation prompts only. Clinically appropriate context and consent where relevant. No treatment recommendations. Clinician review required. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required. Local protocol applies.","emergency","manual-high-risk-list","good","emergency workflow requires careful handling","needs_review","","","","Clinician review required by source data | Emergency workflows require clinician sign-off | High-risk workflow requires manual review",""
"obgyn-menopause","Menopause symptoms","ob_gyn","OB/GYN","8","10","157","29","true","true","true","8","true","true","true","false","true","Document only if assessed. Pelvic examination requires clinically appropriate context and consent. Local protocol applies. Do not imply exam must be performed. | Documentation prompts only. Clinically appropriate context and consent where relevant. No treatment recommendations. Clinician review required. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required. Local protocol applies.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"obgyn-fertility","Fertility concern","ob_gyn","OB/GYN","16","12","150","28","true","true","true","7","true","true","true","false","true","Document only if assessed. Pelvic examination requires clinically appropriate context and consent. Local protocol applies. Do not imply exam must be performed. | Documentation prompts only. Clinically appropriate context and consent where relevant. No treatment recommendations. Clinician review required. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required. Local protocol applies.","routine","","good","","needs_review","","","","Clinician review required by source data",""
