"workflow_id","display_name","diagnosis_label","specialty_id","age_min_months","age_max_years","sex","excluded_from_limited_testing"
"msk-hip-pain","Hip pain","Osteoarthritis","Orthopedics / MSK","","","","false"
"msk-ankle-pain","Ankle / foot pain","Sprain / plantar fasciitis","Orthopedics / MSK","","","","false"
"msk-wrist-hand-pain","Wrist / hand pain","Carpal tunnel / strain","Orthopedics / MSK","","","","false"
"msk-acute-sprain","Acute sprain","Ligament injury","Orthopedics / MSK","","","","false"
"msk-fracture-followup","Fracture follow-up","Healing fracture","Orthopedics / MSK","","","","false"
"msk-post-op-followup","Post-op follow-up","Post-surgical","Orthopedics / MSK","","","","false"
"msk-osteoarthritis-followup","Osteoarthritis follow-up","Osteoarthritis","Orthopedics / MSK","","","","false"
"msk-sports-injury","Sports injury","Acute sports injury","Orthopedics / MSK","","","","false"
"ent-ear-pain","Ear pain","Acute otitis media / OE","ENT","","","","false"
"ent-hearing-complaint","Hearing complaint","Conductive / sensorineural","ENT","","","","false"
"ent-tinnitus","Tinnitus","Tinnitus","ENT","","","","false"
"ent-dizziness-vertigo","Dizziness / vertigo","BPPV / vestibular","ENT","","","","false"
"ent-nasal-congestion","Nasal congestion","Allergic rhinitis","ENT","","","","false"
"ent-sinus-symptoms","Sinus symptoms","Sinusitis","ENT","","","","false"
"ent-sore-throat","Sore throat","Strep pharyngitis","ENT","","","","false"
"ent-voice-complaint","Voice complaint","Laryngitis","ENT","","","","false"
"derm-rash","Rash","Contact dermatitis / eczema","Dermatology","","","","false"
"derm-acne","Acne","Acne vulgaris","Dermatology","","","","false"
"derm-eczema","Eczema / dermatitis","Atopic dermatitis","Dermatology","","","","false"
"derm-fungal-infection","Fungal infection","Tinea / candidiasis","Dermatology","","","","false"
"derm-urticaria","Urticaria","Acute urticaria","Dermatology","","","","false"
"derm-wound-review","Wound review","Wound / post-procedure","Dermatology","","","","false"
"derm-skin-lesion-review","Skin lesion review","Benign / suspicious lesion","Dermatology","","","","false"
"derm-hair-loss","Hair loss","Alopecia","Dermatology","","","","false"
"ophth-red-eye","Red eye","Conjunctivitis","Ophthalmology","","","","false"
"ophth-eye-pain","Eye pain","Keratitis / corneal abrasion","Ophthalmology","","","","false"
"ophth-vision-change","Vision change","Refractive / cataract","Ophthalmology","","","","false"
"ophth-eye-discharge","Eye discharge","Conjunctivitis","Ophthalmology","","","","false"
"ophth-contact-lens-complaint","Contact lens-related complaint","Contact lens complication","Ophthalmology","","","","false"
"ophth-eye-trauma","Eye trauma","Ocular trauma","Ophthalmology","","","","false"
"psych-anxiety","Anxiety","Generalized anxiety disorder","Psychiatry / Mental Health","","","","false"
"psych-low-mood","Low mood","Major depressive episode","Psychiatry / Mental Health","","","","false"
"psych-sleep-difficulty","Sleep difficulty","Primary insomnia","Psychiatry / Mental Health","","","","false"
"psych-stress-symptoms","Stress-related symptoms","Adjustment disorder","Psychiatry / Mental Health","","","","false"
"psych-panic-symptoms","Panic symptoms","Panic disorder","Psychiatry / Mental Health","","","","false"
"psych-medication-followup","Medication follow-up","Psychiatric medication review","Psychiatry / Mental Health","","","","false"
"urgent-minor-trauma","Minor trauma","Minor injury documentation","Emergency / Urgent Care","","","","false"
"urgent-wound-care-laceration","Wound care / laceration","Wound documentation","Emergency / Urgent Care","","","","false"
"urgent-burn-assessment","Burn assessment","Burn documentation","Emergency / Urgent Care","","","","false"
"urgent-allergic-reaction","Allergic reaction","Allergy documentation","Emergency / Urgent Care","","","","false"
"urgent-head-injury","Head injury","Head injury documentation","Emergency / Urgent Care","","","","false"
"urgent-chest-pain","Chest pain","Chest pain documentation","Emergency / Urgent Care","","","","false"
"urgent-shortness-of-breath","Shortness of breath","Shortness of breath documentation","Emergency / Urgent Care","","","","false"
"urgent-abdominal-pain","Abdominal pain","Abdominal pain documentation","Emergency / Urgent Care","","","","false"
"urgent-syncope","Syncope","Syncope documentation","Emergency / Urgent Care","","","","false"
"urgent-fever-suspected-infection","Fever / Suspected infection","Infection documentation","Emergency / Urgent Care","","","","false"
"cardio-chest-pain","Chest pain","Chest pain documentation","Cardiology","","","","false"
"cardio-palpitations","Palpitations","Palpitations documentation","Cardiology","","","","false"
"cardio-hypertension-followup","Hypertension follow-up","Hypertension follow-up documentation","Cardiology","","","","false"
"cardio-heart-failure-followup","Heart failure follow-up","Heart failure follow-up documentation","Cardiology","","","","false"
"cardio-ecg-review","ECG review","ECG review documentation","Cardiology","","","","false"
"cardio-dyspnea","Dyspnea","Dyspnea documentation","Cardiology","","","","false"
"cardio-lipid-followup","Lipid follow-up","Lipid follow-up documentation","Cardiology","","","","false"
"cardio-post-pci-followup","Post-PCI follow-up","Post-PCI follow-up documentation","Cardiology","","","","false"
"cardio-syncope","Syncope","Syncope documentation","Cardiology","","","","false"
"cardio-murmur-documentation","Murmur documentation","Murmur documentation","Cardiology","","","","false"
"neuro-headache","Headache","Headache documentation","Neurology","","","","false"
"neuro-migraine-followup","Migraine follow-up","Migraine follow-up documentation","Neurology","","","","false"
"neuro-seizure-followup","Seizure follow-up","Seizure follow-up documentation","Neurology","","","","false"
"neuro-dizziness","Dizziness","Dizziness documentation","Neurology","","","","false"
"neuro-weakness","Weakness","Weakness documentation","Neurology","","","","false"
"neuro-numbness-tingling","Numbness/tingling","Numbness/tingling documentation","Neurology","","","","false"
"neuro-tremor","Tremor","Tremor documentation","Neurology","","","","false"
"neuro-neuropathy-followup","Neuropathy follow-up","Neuropathy follow-up documentation","Neurology","","","","false"
"neuro-stroke-tia-followup","Stroke/TIA follow-up","Stroke/TIA follow-up documentation","Neurology","","","","false"
"neuro-memory-concern","Memory concern","Memory concern documentation","Neurology","","","","false"
"resp-asthma-followup","Asthma follow-up","Asthma follow-up documentation","Respiratory / Pulmonology","","","","false"
"resp-copd-followup","COPD follow-up","COPD follow-up documentation","Respiratory / Pulmonology","","","","false"
"resp-chronic-cough","Chronic cough","Chronic cough documentation","Respiratory / Pulmonology","","","","false"
"resp-dyspnea","Dyspnea","Dyspnea documentation","Respiratory / Pulmonology","","","","false"
"resp-wheeze","Wheeze","Wheeze documentation","Respiratory / Pulmonology","","","","false"
"resp-pneumonia-followup","Pneumonia follow-up","Pneumonia follow-up documentation","Respiratory / Pulmonology","","","","false"
"resp-sleep-apnea-symptoms","Sleep apnea symptoms","Sleep apnea documentation","Respiratory / Pulmonology","","","","false"
"resp-hemoptysis-documentation","Hemoptysis documentation","Hemoptysis documentation","Respiratory / Pulmonology","","","","false"
"resp-smoking-history-note","Smoking history note","Smoking history documentation","Respiratory / Pulmonology","","","","false"
"resp-pulmonary-function-review","Pulmonary function review","Pulmonary function review documentation","Respiratory / Pulmonology","","","","false"
"gastro-gerd","GERD","GERD documentation","Gastroenterology","","","","false"
"gastro-abdominal-pain","Abdominal pain","Abdominal pain documentation","Gastroenterology","","","","false"
"gastro-ibs-symptoms","IBS symptoms","IBS documentation","Gastroenterology","","","","false"
"gastro-constipation","Constipation","Constipation documentation","Gastroenterology","","","","false"
"gastro-diarrhea","Diarrhea","Diarrhea documentation","Gastroenterology","","","","false"
"gastro-rectal-bleeding","Rectal bleeding","Rectal bleeding documentation","Gastroenterology","","","","false"
"gastro-liver-enzyme-review","Liver enzyme review","Liver enzyme review documentation","Gastroenterology","","","","false"
"gastro-jaundice-documentation","Jaundice documentation","Jaundice documentation","Gastroenterology","","","","false"
"gastro-dysphagia","Dysphagia","Dysphagia documentation","Gastroenterology","","","","false"
"gastro-post-endoscopy-followup","Post-endoscopy follow-up","Post-endoscopy follow-up documentation","Gastroenterology","","","","false"
"endo-diabetes-followup","Diabetes follow-up","Diabetes follow-up documentation","Endocrinology","","","","false"
"endo-thyroid-symptoms","Thyroid symptoms","Thyroid documentation","Endocrinology","","","","false"
"endo-hypothyroidism-followup","Hypothyroidism follow-up","Hypothyroidism follow-up documentation","Endocrinology","","","","false"
"endo-hyperthyroidism-followup","Hyperthyroidism follow-up","Hyperthyroidism follow-up documentation","Endocrinology","","","","false"
"endo-obesity-counseling-documentation","Obesity counseling","Obesity counseling documentation","Endocrinology","","","","false"
"endo-hypoglycemia-review","Hypoglycemia review","Hypoglycemia review documentation","Endocrinology","","","","false"
"endo-pcos-metabolic-review","PCOS metabolic review","PCOS metabolic review documentation","Endocrinology","","","","false"
"endo-osteoporosis-followup","Osteoporosis follow-up","Osteoporosis follow-up documentation","Endocrinology","","","","false"
"endo-adrenal-incidentaloma-referral","Adrenal incidentaloma","Adrenal incidentaloma documentation","Endocrinology","","","","false"
"endo-pituitary-symptoms-documentation","Pituitary symptoms","Pituitary symptoms documentation","Endocrinology","","","","false"
"uro-dysuria-uti-symptoms","Dysuria/UTI symptoms","UTI documentation","Urology / Nephrology","","","","false"
"uro-hematuria","Hematuria","Hematuria documentation","Urology / Nephrology","","","","false"
"uro-luts-bph","LUTS/BPH","LUTS/BPH documentation","Urology / Nephrology","","","","false"
"uro-renal-colic-followup","Renal colic follow-up","Renal colic follow-up documentation","Urology / Nephrology","","","","false"
"uro-urinary-retention-documentation","Urinary retention","Urinary retention documentation","Urology / Nephrology","","","","false"
"uro-flank-pain","Flank pain","Flank pain documentation","Urology / Nephrology","","","","false"
"uro-frequency-urgency","Frequency/urgency","Frequency/urgency documentation","Urology / Nephrology","","","","false"
"neph-ckd-followup","CKD follow-up","CKD follow-up documentation","Urology / Nephrology","","","","false"
"neph-proteinuria","Proteinuria","Proteinuria documentation","Urology / Nephrology","","","","false"
"neph-electrolyte-abnormality-review","Electrolyte abnormality","Electrolyte abnormality documentation","Urology / Nephrology","","","","false"
"ent-allergic-rhinitis","Allergic rhinitis","Allergic rhinitis","ENT","","","","false"
"ent-cerumen-impaction","Cerumen impaction","Cerumen impaction","ENT","","","","false"
"oph-conjunctivitis","Conjunctivitis","Conjunctivitis","Ophthalmology","","","","false"
"oph-dry-eye","Dry eye","Dry eye","Ophthalmology","","","","false"
"gp-medication-review","Medication review","Medication review / Reconciliation","General Medicine / GP","","","","false"
"gp-lab-review","Lab review","Laboratory result review","General Medicine / GP","","","","false"
"ent-sinusitis","Sinusitis","Sinusitis","ENT","","","","false"
"ent-otitis-externa","Otitis externa","Otitis externa","ENT","","","","false"
"oph-stye","Stye / hordeolum","Stye / hordeolum","Ophthalmology","","","","false"
"oph-blepharitis","Blepharitis","Blepharitis","Ophthalmology","","","","false"
"ent-hoarseness","Hoarseness","Hoarseness","ENT","","","","false"
"oph-allergic-conjunctivitis","Allergic conjunctivitis","Allergic conjunctivitis","Ophthalmology","","","","false"
"derm-contact-dermatitis","Contact dermatitis","Contact dermatitis","Dermatology","","","","false"
"derm-tinea-corporis","Tinea corporis","Tinea corporis","Dermatology","","","","false"
"derm-seborrheic-dermatitis","Seborrheic dermatitis","Seborrheic dermatitis","Dermatology","","","","false"
"gp-smoking-cessation","Smoking cessation","Smoking cessation counselling","General Medicine / GP","","","","false"
"gp-weight-management","Weight management","Weight management counselling","General Medicine / GP","","","","false"
"gp-lifestyle-review","Lifestyle review","Lifestyle counselling","General Medicine / GP","","","","false"
"gp-results-review","Results review","Results review / discussion","General Medicine / GP","","","","false"
"ent-eustachian-tube-dysfunction","Eustachian tube dysfunction","Eustachian tube dysfunction","ENT","","","","false"
"oph-foreign-body-sensation","Foreign body sensation","Foreign body sensation","Ophthalmology","","","","false"
"psych-insomnia","Insomnia","Insomnia","Psychiatry / Mental Health","","","","false"
"psych-stress-reaction","Stress reaction","Stress reaction","Psychiatry / Mental Health","","","","false"
"gp-dyspepsia","Dyspepsia","Dyspepsia","General Medicine / GP","","","","false"
"oph-cataract-followup","Cataract follow-up","Cataract follow-up","Ophthalmology","","","","false"
"gp-rash","Rash","Skin eruption","General Medicine / GP","","","","false"
"gp-urinary-symptoms","Urinary symptoms","Lower urinary tract symptoms","General Medicine / GP","","","","false"
"gp-dysuria","Dysuria","Painful urination","General Medicine / GP","","","","false"
"gp-frequency-urgency","Frequency / urgency","Storage urinary symptoms","General Medicine / GP","","","","false"
"gp-viral-illness","Viral illness","Viral syndrome","General Medicine / GP","","","","false"
"gp-cold","Common cold","Acute coryza","General Medicine / GP","","","","false"
"derm-psoriasis","Psoriasis","Plaque psoriasis","Dermatology","","","","false"
"derm-rosacea","Rosacea","Facial rosacea","Dermatology","","","","false"
"derm-fungal-nail-infection","Fungal nail infection","Onychomycosis","Dermatology","","","","false"
"derm-warts","Warts","Viral warts","Dermatology","","","","false"
"anes-airway-plan-documentation-review","Airway plan documentation-only review","Airway plan documentation-only review","Anesthesia / Perioperative Medicine","","","","false"
"anes-airway-review-documentation","Airway review documentation","Airway review documentation","Anesthesia / Perioperative Medicine","","","","true"
"anes-allergy-clarification","Anesthesia allergy clarification","Anesthesia allergy clarification","Anesthesia / Perioperative Medicine","","","","false"
"anes-asa-status-documentation","ASA status documentation","ASA status documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-blood-product-discussion-documentation","Blood product discussion documentation","Blood product discussion documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-chronic-pain-pre-op-documentation","Chronic pain pre-op documentation","Chronic pain pre-op documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-clinic-referral-documentation","Anesthesia clinic referral documentation","Anesthesia clinic referral documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-consent-discussion-documentation","Anesthesia consent discussion documentation","Anesthesia consent discussion documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-day-surgery-anesthesia-screening","Day surgery anesthesia screening","Day surgery anesthesia screening","Anesthesia / Perioperative Medicine","","","","false"
"anes-difficult-airway-history-documentation","Difficult airway history documentation","Difficult airway history documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-equipment-issue-documentation","Anesthesia equipment issue documentation","Anesthesia equipment issue documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-family-history-documentation","Anesthesia family history documentation","Anesthesia family history documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-fasting-status-documentation","Fasting status documentation","Fasting status documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-handover-documentation","Anesthesia handover documentation","Anesthesia handover documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-intraoperative-event-documentation-prompt","Intraoperative event documentation prompt","Intraoperative event documentation prompt","Anesthesia / Perioperative Medicine","","","","false"
"anes-line-placement-documentation-prompt","Line placement documentation prompt","Line placement documentation prompt","Anesthesia / Perioperative Medicine","","","","false"
"anes-malignant-hyperthermia-history-documentation","Malignant hyperthermia history documentation","Malignant hyperthermia history documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-medication-allergy-review-anesthesia","Medication allergy review anesthesia","Medication allergy review anesthesia","Anesthesia / Perioperative Medicine","","","","false"
"anes-medication-reconciliation","Anesthesia medication reconciliation","Anesthesia medication reconciliation","Anesthesia / Perioperative Medicine","","","","false"
"anes-neuraxial-anesthesia-follow-up","Neuraxial anesthesia follow-up","Neuraxial anesthesia follow-up","Anesthesia / Perioperative Medicine","","","","false"
"anes-obstructive-sleep-apnea-anesthesia-review","Obstructive sleep apnea anesthesia review","Obstructive sleep apnea anesthesia review","Anesthesia / Perioperative Medicine","","","","false"
"anes-pacu-airway-observation-documentation","PACU airway observation documentation","PACU airway observation documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-pacu-delirium-observation-documentation","PACU delirium observation documentation","PACU delirium observation documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-pacu-discharge-criteria-documentation","PACU discharge criteria documentation","PACU discharge criteria documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-pacu-hemodynamic-observation-documentation","PACU hemodynamic observation documentation","PACU hemodynamic observation documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-pacu-hypothermia-observation-documentation","PACU hypothermia observation documentation","PACU hypothermia observation documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-pacu-nausea-vomiting-documentation","PACU nausea vomiting documentation","PACU nausea vomiting documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-pacu-pain-documentation","PACU pain documentation","PACU pain documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-pacu-pain-score-review","PACU pain score review","PACU pain score review","Anesthesia / Perioperative Medicine","","","","false"
"anes-perioperative-alcohol-use-documentation","Perioperative alcohol use documentation","Perioperative alcohol use documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-perioperative-goals-of-care-documentation","Perioperative goals-of-care documentation","Perioperative goals-of-care documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-perioperative-interpreter-documentation","Perioperative interpreter documentation","Perioperative interpreter documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-perioperative-medication-review","Perioperative medication review","Perioperative medication review","Anesthesia / Perioperative Medicine","","","","false"
"anes-perioperative-opioid-use-documentation","Perioperative opioid use documentation","Perioperative opioid use documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-perioperative-smoking-status-documentation","Perioperative smoking status documentation","Perioperative smoking status documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-plan-documentation-review","Anesthesia plan documentation-only review","Anesthesia plan documentation-only review","Anesthesia / Perioperative Medicine","","","","false"
"anes-post-anesthesia-recovery-documentation","Post-anesthesia recovery documentation","Post-anesthesia recovery documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-post-op-anesthesia-follow-up","Post-op anesthesia follow-up","Post-op anesthesia follow-up","Anesthesia / Perioperative Medicine","","","","false"
"anes-post-op-nausea-risk-documentation","Post-op nausea risk documentation","Post-op nausea risk documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-post-operative-pain-service-review","Post-operative pain service review","Post-operative pain service review","Anesthesia / Perioperative Medicine","","","","false"
"anes-post-operative-respiratory-concern-documentation","Post-operative respiratory concern documentation","Post-operative respiratory concern documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-post-operative-sore-throat-anesthesia-follow-up","Post-operative sore throat anesthesia follow-up","Post-operative sore throat anesthesia follow-up","Anesthesia / Perioperative Medicine","","","","false"
"anes-post-sedation-follow-up-documentation","Post-sedation follow-up documentation","Post-sedation follow-up documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-post-spinal-headache-documentation","Post-spinal headache documentation","Post-spinal headache documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-pre-op-anticoagulation-documentation","Pre-op anticoagulation documentation","Pre-op anticoagulation documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-pre-op-cardiac-risk-documentation-anesthesia","Pre-op cardiac risk documentation anesthesia","Pre-op cardiac risk documentation anesthesia","Anesthesia / Perioperative Medicine","","","","false"
"anes-pre-op-comorbidity-documentation","Pre-op comorbidity documentation","Pre-op comorbidity documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-pre-op-diabetes-documentation-anesthesia","Pre-op diabetes documentation anesthesia","Pre-op diabetes documentation anesthesia","Anesthesia / Perioperative Medicine","","","","false"
"anes-pre-op-frailty-anesthesia-review","Pre-op frailty anesthesia review","Pre-op frailty anesthesia review","Anesthesia / Perioperative Medicine","","","","false"
"anes-pre-op-geriatric-anesthesia-documentation","Pre-op geriatric anesthesia documentation","Pre-op geriatric anesthesia documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-pre-op-obesity-anesthesia-review","Pre-op obesity anesthesia review","Pre-op obesity anesthesia review","Anesthesia / Perioperative Medicine","","","","false"
"anes-pre-op-pediatric-anesthesia-documentation","Pre-op pediatric anesthesia documentation","Pre-op pediatric anesthesia documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-pre-op-pregnancy-status-documentation","Pre-op pregnancy status documentation","Pre-op pregnancy status documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-pre-op-respiratory-risk-documentation-anesthesia","Pre-op respiratory risk documentation anesthesia","Pre-op respiratory risk documentation anesthesia","Anesthesia / Perioperative Medicine","","","","false"
"anes-pre-operative-anesthesia-assessment","Pre-operative anesthesia assessment","Pre-operative anesthesia assessment","Anesthesia / Perioperative Medicine","","","","false"
"anes-previous-awareness-under-anesthesia-documentation","Previous awareness under anesthesia documentation","Previous awareness under anesthesia documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-prior-anesthesia-complication-history","Prior anesthesia complication history","Prior anesthesia complication history","Anesthesia / Perioperative Medicine","","","","false"
"anes-procedural-sedation-documentation-prompts","Procedural sedation documentation prompts","Procedural sedation documentation prompts","Anesthesia / Perioperative Medicine","","","","false"
"anes-procedure-note-documentation-prompt","Anesthesia procedure note documentation prompt","Anesthesia procedure note documentation prompt","Anesthesia / Perioperative Medicine","","","","false"
"anes-pseudocholinesterase-deficiency-history-documentation","Pseudocholinesterase deficiency history documentation","Pseudocholinesterase deficiency history documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-regional-anesthesia-documentation-prompts","Regional anesthesia documentation prompts","Regional anesthesia documentation prompts","Anesthesia / Perioperative Medicine","","","","false"
"anes-regional-block-follow-up-documentation","Regional block follow-up documentation","Regional block follow-up documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-risk-discussion-documentation","Anesthesia risk discussion documentation","Anesthesia risk discussion documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-safety-net-documentation","Anesthesia safety-net documentation","Anesthesia safety-net documentation","Anesthesia / Perioperative Medicine","","","","false"
"anes-sedation-recovery-documentation","Sedation recovery documentation","Sedation recovery documentation","Anesthesia / Perioperative Medicine","","","","false"
"cardio-af-follow-up","AF follow-up","AF follow-up","Cardiology outpatient","","","","false"
"cardio-ambulatory-blood-pressure-result-review","Ambulatory blood pressure result review","Ambulatory blood pressure result review","Cardiology outpatient","","","","false"
"cardio-anticoagulation-documentation","Anticoagulation documentation","Anticoagulation documentation","Cardiology outpatient","","","","false"
"cardio-atypical-chest-discomfort-documentation","Atypical chest discomfort documentation","Atypical chest discomfort documentation","Cardiology outpatient","","","","false"
"cardio-blood-pressure-device-technique-review","Blood pressure device technique review","Blood pressure device technique review","Cardiology outpatient","","","","false"
"cardio-bradycardia-documentation","Bradycardia documentation","Bradycardia documentation","Cardiology outpatient","","","","false"
"cardio-cardiac-rehabilitation-progress-review","Cardiac rehabilitation progress review","Cardiac rehabilitation progress review","Cardiology outpatient","","","","false"
"cardio-cardiac-risk-review-documentation","Cardiac risk review documentation","Cardiac risk review documentation","Cardiology outpatient","","","","false"
"cardio-chest-pain-non-acute-follow-up","Chest pain non-acute follow-up","Chest pain non-acute follow-up","Cardiology outpatient","","","","false"
"cardio-chest-pain-safety-net-documentation","Chest pain safety-net documentation","Chest pain safety-net documentation","Cardiology outpatient","","","","false"
"cardio-diabetes-cardiac-risk-documentation","Diabetes cardiac risk documentation","Diabetes cardiac risk documentation","Cardiology outpatient","","","","false"
"cardio-dizziness-cardiac-screening-documentation","Dizziness cardiac screening documentation","Dizziness cardiac screening documentation","Cardiology outpatient","","","","false"
"cardio-doac-review-documentation","DOAC review documentation","DOAC review documentation","Cardiology outpatient","","","","false"
"cardio-dyspnea-cardiac-review","Dyspnea cardiac review","Dyspnea cardiac review","Cardiology outpatient","","","","false"
"cardio-ecg-result-review","ECG result review","ECG result review","Cardiology outpatient","","","","false"
"cardio-echocardiogram-result-review","Echocardiogram result review","Echocardiogram result review","Cardiology outpatient","","","","false"
"cardio-edema-cardiac-review","Edema cardiac review","Edema cardiac review","Cardiology outpatient","","","","false"
"cardio-exercise-test-result-review","Exercise test result review","Exercise test result review","Cardiology outpatient","","","","false"
"cardio-family-history-cardiac-risk","Family history cardiac risk","Family history cardiac risk","Cardiology outpatient","","","","false"
"cardio-heart-failure-follow-up","Heart failure follow-up","Heart failure follow-up","Cardiology outpatient","","","","false"
"cardio-holter-result-review","Holter result review","Holter result review","Cardiology outpatient","","","","false"
"cardio-home-blood-pressure-review","Home blood pressure review","Home blood pressure review","Cardiology outpatient","","","","false"
"cardio-hypertension-annual-review","Hypertension annual review","Hypertension annual review","Cardiology outpatient","","","","false"
"cardio-icd-clinic-documentation","ICD clinic documentation","ICD clinic documentation","Cardiology outpatient","","","","false"
"cardio-kidney-disease-cardiac-risk-documentation","Kidney disease cardiac risk documentation","Kidney disease cardiac risk documentation","Cardiology outpatient","","","","false"
