"workflow_id","display_name","specialty","risk_tier","source_status","verdict","p0","p1","p2","p3","finding_codes"
"gp-chest-pain","Chest pain","General Medicine / GP","tier_4","source_gap","failed","5","0","2","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_INVESTIGATIONS | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:BROAD_ALIAS_REVIEW | P2:GENERIC_PROMPT_DENSITY"
"gp-palpitations","Palpitations","General Medicine / GP","tier_2","source_gap","failed","5","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_INVESTIGATIONS | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"gp-shortness-of-breath","Shortness of breath","General Medicine / GP","tier_4","source_gap","failed","5","0","2","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_INVESTIGATIONS | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:BROAD_ALIAS_REVIEW | P2:GENERIC_PROMPT_DENSITY"
"gp-hypertension-followup","Hypertension follow-up","General Medicine / GP","tier_2","source_gap","failed","4","0","1","1","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_INVESTIGATIONS | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY | P3:DUPLICATE_ALIAS"
"gp-diabetes-followup","Diabetes follow-up","General Medicine / GP","tier_2","source_mapped_with_gaps","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_INVESTIGATIONS | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"gp-thyroid-followup","Thyroid follow-up","General Medicine / GP","tier_2","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_INVESTIGATIONS | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"gp-dyslipidemia-followup","Dyslipidemia follow-up","General Medicine / GP","tier_2","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_INVESTIGATIONS | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"gp-lab-result-review","Lab result review","General Medicine / GP","tier_2","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_INVESTIGATIONS | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"peds-fever","Fever","Pediatrics","tier_3","source_gap","failed","4","1","2","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P1:TEMPERATURE_LABEL_MISMATCH | P2:BROAD_ALIAS_REVIEW | P2:GENERIC_PROMPT_DENSITY"
"peds-cough","Cough / cold","Pediatrics","tier_3","source_gap","failed","5","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_INVESTIGATIONS | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"peds-vomiting-diarrhea","Vomiting / diarrhea","Pediatrics","tier_3","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"peds-rash","Rash","Pediatrics","tier_3","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"peds-poor-feeding","Poor feeding","Pediatrics","tier_3","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"peds-ear-pain","Ear pain","Pediatrics","tier_3","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"peds-abdominal-pain","Abdominal pain","Pediatrics","tier_3","source_mapped_with_gaps","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY | ungraded:SOURCE_MISSING_PUBLICATION_DATE"
"peds-routine-followup","Routine pediatric follow-up","Pediatrics","tier_3","source_gap","failed","3","1","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P1:RED_FLAG_AS_CONCLUSION | P2:GENERIC_PROMPT_DENSITY"
"peds-vaccination","Vaccination visit","Pediatrics","tier_3","source_mapped_with_gaps","failed","3","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY | ungraded:SOURCE_MISSING_PUBLICATION_DATE"
"peds-growth-concern","Growth concern","Pediatrics","tier_3","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"peds-development-concern","Developmental concern","Pediatrics","tier_3","source_gap","failed","4","1","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P1:RED_FLAG_AS_CONCLUSION | P2:GENERIC_PROMPT_DENSITY"
"peds-school-note","School / sick note","Pediatrics","tier_3","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"obgyn-antenatal-followup","Antenatal follow-up","OB/GYN","tier_3","source_gap","failed","5","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_INVESTIGATIONS | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"obgyn-pelvic-pain","Pelvic pain","OB/GYN","tier_3","source_gap","failed","5","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_INVESTIGATIONS | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"obgyn-irregular-bleeding","Irregular bleeding","OB/GYN","tier_4","source_gap","failed","5","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_INVESTIGATIONS | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"obgyn-vaginal-discharge","Vaginal discharge","OB/GYN","tier_3","source_gap","failed","5","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_INVESTIGATIONS | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"obgyn-contraception","Contraception counseling","OB/GYN","tier_3","source_gap","failed","3","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"obgyn-dysmenorrhea","Dysmenorrhea","OB/GYN","tier_3","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"obgyn-postnatal-followup","Postnatal follow-up","OB/GYN","tier_3","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"obgyn-early-pregnancy","Early pregnancy symptoms","OB/GYN","tier_3","source_gap","failed","5","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_INVESTIGATIONS | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"obgyn-menopause","Menopause symptoms","OB/GYN","tier_3","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"obgyn-fertility","Fertility concern","OB/GYN","tier_3","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"msk-low-back-pain","Low back pain","Orthopedics / MSK","tier_2","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"msk-neck-pain","Neck pain","Orthopedics / MSK","tier_2","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"msk-knee-pain","Knee pain","Orthopedics / MSK","tier_2","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"msk-shoulder-pain","Shoulder pain","Orthopedics / MSK","tier_2","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"msk-hip-pain","Hip pain","Orthopedics / MSK","tier_2","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"msk-ankle-pain","Ankle / foot pain","Orthopedics / MSK","tier_2","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"msk-wrist-hand-pain","Wrist / hand pain","Orthopedics / MSK","tier_2","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"msk-acute-sprain","Acute sprain","Orthopedics / MSK","tier_2","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"msk-fracture-followup","Fracture follow-up","Orthopedics / MSK","tier_2","source_gap","failed","3","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"msk-post-op-followup","Post-op follow-up","Orthopedics / MSK","tier_2","source_gap","failed","4","0","1","1","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY | P3:DUPLICATE_ALIAS"
"msk-osteoarthritis-followup","Osteoarthritis follow-up","Orthopedics / MSK","tier_2","source_gap","failed","3","0","1","1","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY | P3:DUPLICATE_ALIAS"
"msk-sports-injury","Sports injury","Orthopedics / MSK","tier_2","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"ent-ear-pain","Ear pain","ENT","tier_2","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"ent-hearing-complaint","Hearing complaint","ENT","tier_2","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"ent-tinnitus","Tinnitus","ENT","tier_2","source_gap","failed","3","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"ent-dizziness-vertigo","Dizziness / vertigo","ENT","tier_2","source_mapped_with_gaps","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY | ungraded:SOURCE_MISSING_PUBLICATION_DATE"
"ent-nasal-congestion","Nasal congestion","ENT","tier_2","source_mapped_with_gaps","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY | ungraded:SOURCE_MISSING_PUBLICATION_DATE"
"ent-sinus-symptoms","Sinus symptoms","ENT","tier_2","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"ent-sore-throat","Sore throat","ENT","tier_2","source_gap","failed","5","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_INVESTIGATIONS | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"ent-voice-complaint","Voice complaint","ENT","tier_2","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"derm-rash","Rash","Dermatology","tier_2","source_gap","failed","4","0","2","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:BROAD_ALIAS_REVIEW | P2:GENERIC_PROMPT_DENSITY"
"derm-acne","Acne","Dermatology","tier_2","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"derm-eczema","Eczema / dermatitis","Dermatology","tier_2","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"derm-fungal-infection","Fungal infection","Dermatology","tier_2","source_gap","failed","5","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_INVESTIGATIONS | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"derm-urticaria","Urticaria","Dermatology","tier_2","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"derm-wound-review","Wound review","Dermatology","tier_2","source_gap","failed","5","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_INVESTIGATIONS | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
